"Statistic Label","Quarter","Sex","UNIT","VALUE"
"Population","2014Q1","Male","Number",""
"Population","2014Q1","Female","Number",""
"Population","2014Q2","Both sexes","Number","4609600"
"Population","2014Q2","Male","Number",""
"Population","2014Q2","Female","Number",""
"Population","2014Q3","Both sexes","Number","4609600"
"Population","2014Q3","Male","Number",""
"Population","2014Q3","Female","Number",""
"Population","2014Q4","Both sexes","Number","4609600"
"Population","2014Q4","Male","Number",""
"Population","2014Q4","Female","Number",""
"Population","2015Q1","Both sexes","Number","4609600"
"Population","2015Q1","Male","Number",""
"Population","2015Q1","Female","Number",""
"Population","2015Q2","Both sexes","Number","4635390"
"Population","2015Q2","Male","Number",""
"Population","2015Q2","Female","Number",""
"Population","2015Q3","Both sexes","Number","4609600"
"Population","2015Q3","Male","Number",""
"Population","2015Q3","Female","Number",""
"Population","2015Q4","Both sexes","Number","4635400"
"Population","2015Q4","Male","Number",""
"Population","2015Q4","Female","Number",""
"Population","2016Q1","Both sexes","Number","4635400"
"Population","2016Q1","Male","Number",""
"Population","2016Q1","Female","Number",""
"Population","2016Q2","Both sexes","Number","4673700"
"Population","2016Q2","Male","Number",""
"Population","2016Q2","Female","Number",""
"Population","2016Q3","Both sexes","Number","4673700"
"Population","2016Q3","Male","Number",""
"Population","2016Q3","Female","Number",""
"Population","2016Q4","Both sexes","Number","4673700"
"Population","2016Q4","Male","Number",""
"Population","2016Q4","Female","Number",""
"Population","2017Q1","Both sexes","Number","4673700"
"Population","2017Q1","Male","Number",""
"Population","2017Q1","Female","Number",""
"Population","2017Q2","Both sexes","Number","4792490"
"Population","2017Q2","Male","Number",""
"Population","2017Q2","Female","Number",""
"Population","2017Q3","Both sexes","Number","4792490"
"Population","2017Q3","Male","Number",""
"Population","2017Q3","Female","Number",""
"Population","2017Q4","Both sexes","Number","4792490"
"Population","2017Q4","Male","Number",""
"Population","2017Q4","Female","Number",""
"Population","2018Q1","Both sexes","Number","4792490"
"Population","2018Q1","Male","Number","2372106"
"Population","2018Q1","Female","Number","2420384"
"Population","2018Q2","Both sexes","Number","4857015"
